COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName
Malta,"35 53 N, 14 30 E","35 50 N, 14 35 E","35.88333333333333, 14.5","35.833333333333336, 14.583333333333334",9.346955864,5.80793115,-0.08333,0.05,Europe,Valletta
Moldova,"47 00 N, 28 51 E","47 00 N, 29 00 E","47.0, 28.85","47.0, 29.0",11.37878284,7.070450345,-0.15,0,Europe,Chisinau
Monaco,"43 44 N, 7 25 E","43 44 N, 7 24 E","43.733333333333334, 7.416666666666667","43.733333333333334, 7.4",1.339513224,0.832335222,0.01667,0,Europe,Monaco
Montenegro,"42 26 N, 19 16 E","42 30 N, 19 18 E","42.43333333333333, 19.266666666666666","42.5, 19.3",7.903631873,4.911090886,-0.03333,-0.06667,Europe,Podgorica
Netherlands,"52 21 N, 4 55 E","52 30 N, 5 45 E","52.35, 4.916666666666667","52.5, 5.75",58.93387592,36.61982562,-0.83333,-0.15,Europe,Amsterdam
Norway,"59 55 N, 10 45 E","62 00 N, 10 00 E","59.916666666666664, 10.75","62.0, 10.0",235.2366835,146.1693499,0.75,-2.08333,Europe,Oslo
Poland,"52 15 N, 21 00 E","52 00 N, 20 00 E","52.25, 21.0","52.0, 20.0",73.73236189,45.81518172,1,0.25,Europe,Warsaw
Portugal,"38 43 N, 9 08 W","39 30 N, 8 00 W","38.71666666666667, -9.133333333333333","39.5, -8.0",130.993444,81.39558106,-1.13333,-0.78333,Europe,Lisbon
Republic of Macedonia,"42 00 N, 21 26 E","41 50 N, 22 00 E","42.0, 21.433333333333334","41.833333333333336, 22.0",50.43255462,31.3373476,-0.56667,0.16667,Europe,Skopje
Romania,"44 26 N, 26 06 E","46 00 N, 25 00 E","44.43333333333333, 26.1","46.0, 25.0",194.4044264,120.7973527,1.1,-1.56667,Europe,Bucharest
San Marino,"43 56 N, 12 25 E","43 46 N, 12 25 E","43.93333333333333, 12.416666666666666","43.766666666666666, 12.416666666666666",18.53830554,11.51917306,0,0.16667,Europe,San Marino
Serbia,"44 50 N, 20 30 E","44 00 N, 21 00 E","44.833333333333336, 20.5","44.0, 21.0",100.8444548,62.66186111,-0.5,0.83333,Europe,Belgrade
Slovakia,"48 09 N, 17 07 E","48 40 N, 19 30 E","48.15, 17.116666666666667","48.666666666666664, 19.5",185.1131733,115.0240336,-2.38333,-0.51667,Europe,Bratislava
Slovenia,"46 03 N, 14 31 E","46 07 N, 14 49 E","46.05, 14.516666666666667","46.11666666666667, 14.816666666666666",24.30393032,15.10176746,-0.3,-0.06667,Europe,Ljubljana
Spain,"40 24 N, 3 41 W","40 00 N, 4 00 W","40.4, -3.6833333333333336","40.0, -4.0",51.99321688,32.30709852,0.31667,0.4,Europe,Madrid
Svalbard,"78 13 N, 15 38 E","78 00 N, 20 00 E","78.21666666666667, 15.633333333333333","78.0, 20.0",102.9191164,63.95099651,-4.36667,0.21667,Europe,Longyearbyen
Sweden,"59 20 N, 18 03 E","62 00 N, 15 00 E","59.333333333333336, 18.05","62.0, 15.0",339.9159603,211.2140597,3.05,-2.66667,Europe,Stockholm
Switzerland,"46 55 N, 7 28 E","47 00 N, 8 00 E","46.916666666666664, 7.466666666666667","47.0, 8.0",41.53678399,25.80977006,-0.53333,-0.08333,Europe,Bern
Turkey,"39 56 N, 32 52 E","39 00 N, 35 00 E","39.93333333333333, 32.86666666666667","39.0, 35.0",210.5493882,130.8293703,-2.13333,0.93333,Europe,Ankara
Ukraine,"50 26 N, 30 31 E","49 00 N, 32 00 E","50.43333333333333, 30.516666666666666","49.0, 32.0",191.8188215,119.1907317,-1.48333,1.43333,Europe,Kiev
United Kingdom,"51 30 N, 0 05 W","54 00 N, 2 00 W","51.5, -0.08333333333333333","54.0, -2.0",306.5293112,190.4685505,1.91667,-2.5,Europe,London
