COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName,
Cambodia,"11 33 N, 104 55 E","13 00 N, 105 00 E","11.55, 104.91666666666667","13.0, 105.0",161.5373581,100.3746961,-0.08333,-1.45,Asia,Phnom Penh,
Cameroon,"3 52 N, 11 31 E","6 00 N, 12 00 E","3.8666666666666667, 11.516666666666667","6.0, 12.0",243.2595988,151.1545601,-0.48333,-2.13333,Africa,Yaounde,
Canada,"45 25 N, 75 42 W","60 00 N, 95 00 W","45.416666666666664, -75.7","60.0, -95.0",2063.078731,1281.938142,19.3,-14.58333,North America,Ottawa,
Cape Verde,"14 55 N, 23 31 W","16 00 N, 24 00 W","14.916666666666666, -23.516666666666666","16.0, -24.0",131.1671847,81.50353857,0.48333,-1.08333,Africa,Praia,
Cayman Islands,"19 18 N, 81 23 W","19 30 N, 80 30 W","19.3, -81.38333333333334","19.5, -80.5",95.30692756,59.22100002,-0.88333,-0.2,North America,George Town,
Central African Republic,"4 22 N, 18 35 E","7 00 N, 21 00 E","4.366666666666666, 18.583333333333332","7.0, 21.0",396.6461142,246.4645555,-2.41667,-2.63333,Africa,Bangui,
Chad,"12 06 N, 15 02 E","15 00 N, 19 00 E","12.1, 15.033333333333333","15.0, 19.0",536.6383507,333.451729,-3.96667,-2.9,Africa,N'Djamena,
Chile,"33 27 S, 70 40 W","30 00 S, 71 00 W","-33.45, -70.66666666666667","-30.0, -71.0",385.0357763,239.2502234,0.33333,-3.45,South America,Santiago,
China,"39 55 N, 116 23 E","35 00 N, 105 00 E","39.916666666666664, 116.38333333333334","35.0, 105.0",1142.941063,710.1909007,11.38333,4.91667,Asia,Beijing,
Christmas Island,"10 25 S, 105 43 E","10 30 S, 105 40 E","-10.416666666666666, 105.71666666666667","-10.5, 105.66666666666667",10.76235277,6.687418324,0.05,0.08333,Asia,Flying Fish Cove,
Cocos Keeling Islands,"12 10 S, 96 50 E","12 30 S, 96 50 E","-12.166666666666666, 96.83333333333333","-12.5, 96.83333333333333",37.07661108,23.03834613,0,0.33333,Asia,West Island,
Colombia,"4 36 N, 74 05 W","4 00 N, 72 00 W","4.6, -74.08333333333333","4.0, -72.0",240.5198169,149.4521379,-2.08333,0.6,South America,Bogota,
Comoros,"11 42 S, 43 14 E","12 10 S, 44 15 E","-11.7, 43.233333333333334","-12.166666666666666, 44.25",122.2106265,75.93818938,-1.01667,0.46667,Africa,Moroni,
"Congo, Republic of the","4 15 S, 15 17 E","1 00 S, 15 00 E","-4.25, 15.283333333333333","-1.0, 15.0",362.8648546,225.4738465,0.28333,-3.25,Africa,Kinshasa,
Cook Islands,"21 12 S, 159 46 W","21 14 S, 159 46 W","-21.2, -159.76666666666668","-21.233333333333334, -159.76666666666668",3.707661108,2.303834613,0,0.03333,Oceania,Avarua,
Costa Rica,"9 56 N, 84 05 W","10 00 N, 84 00 W","9.933333333333334, -84.08333333333333","10.0, -84.0",11.76140017,7.308197814,-0.08333,-0.06667,North America,San Jose,
Cote d'Ivoire,"6 49 N, 5 16 W","8 00 N, 5 00 W","6.816666666666666, -5.266666666666667","8.0, -5.0",134.8683638,83.80334548,-0.26667,-1.18333,Africa,Yamoussoukro,
Croatia,"45 48 N, 16 00 E","45 10 N, 15 30 E","45.8, 16.0","45.166666666666664, 15.5",80.51662809,50.03073078,0.5,0.63333,Europe,Zagreb,
Cuba,"23 07 N, 82 21 W","21 30 N, 80 00 W","23.116666666666667, -82.35","21.5, -80.0",301.3448254,187.2470592,-2.35,1.61667,North America,Havana,
Cyprus,"35 10 N, 33 22 E","35 00 N, 33 00 E","35.166666666666664, 33.36666666666667","35.0, 33.0",38.17748311,23.72239654,0.36667,0.16667,Europe,Nicosia,
Czech Republic,"50 05 N, 14 28 E","49 45 N, 15 30 E","50.083333333333336, 14.466666666666667","49.75, 15.5",82.7752825,51.43419405,-1.03333,0.33333,Europe,Prague,
Democratic Republic of the Congo,"4 19 S, 15 18 E","0 00 N, 25 00 E","-4.316666666666666, 15.3","0.0, 25.0",1180.007419,733.2228744,-9.7,-4.31667,Africa,Kinshasa,
Denmark,"55 40 N, 12 35 E","56 00 N, 10 00 E","55.666666666666664, 12.583333333333334","56.0, 10.0",165.5666,102.8783518,2.58333,-0.33333,Europe,Copenhagen,
Dhekelia,"34 40 N, 32 51 E","34 59 N, 33 45 E","34.666666666666664, 32.85","34.983333333333334, 33.75",89.40769081,55.55538296,-0.9,-0.31667,Europe,Episkopi Cantonment,
Djibouti,"11 35 N, 43 09 E","11 30 N, 43 00 E","11.583333333333334, 43.15","11.5, 43.0",18.79215276,11.67690647,0.15,0.08333,Africa,Djibouti,
Dominica,"15 18 N, 61 24 W","15 25 N, 61 20 W","15.3, -61.4","15.416666666666666, -61.333333333333336",14.81645855,9.20652375,-0.06667,-0.11667,North America,Roseau,
Dominican Republic,"18 28 N, 69 54 W","19 00 N, 70 40 W","18.466666666666665, -69.9","19.0, -70.66666666666667",100.2050041,62.26452474,0.76667,-0.53333,North America,Santo Domingo,
East Timor,"8 35 S, 125 36 E","8 50 S, 125 55 E","-8.583333333333334, 125.6","-8.833333333333334, 125.91666666666667",44.55846893,27.6873587,-0.31667,0.25,Asia,Dili,
Ecuador,"0 13 S, 78 30 W","2 00 S, 77 30 W","-0.21666666666666667, -78.5","-2.0, -77.5",227.4051118,141.3030351,-1,1.78333,South America,Quito,
Egypt,"30 03 N, 31 15 E","27 00 N, 30 00 E","30.05, 31.25","27.0, 30.0",360.5653467,224.0449981,1.25,3.05,Africa,Cairo,
El Salvador,"13 42 N, 89 12 W","13 50 N, 88 55 W","13.7, -89.2","13.833333333333334, -88.91666666666667",34.01332245,21.13490615,-0.28333,-0.13333,North America,San Salvador,
Equatorial Guinea,"3 45 N, 8 47 E","2 00 N, 10 00 E","3.75, 8.783333333333333","2.0, 10.0",236.9727511,147.2480927,-1.21667,1.75,Africa,Malabo,
Eritrea,"15 20 N, 38 56 E","15 00 N, 39 00 E","15.333333333333334, 38.93333333333333","15.0, 39.0",37.76106602,23.46364686,-0.06667,0.33333,Africa,Asmara,
Estonia,"59 26 N, 24 43 E","59 00 N, 26 00 E","59.43333333333333, 24.716666666666665","59.0, 26.0",87.52116958,54.3831526,-1.28333,0.43333,Europe,Tallinn,
Ethiopia,"9 02 N, 38 42 E","8 00 N, 38 00 E","9.033333333333333, 38.7","8.0, 38.0",138.3466961,85.96468169,0.7,1.03333,Africa,Addis Ababa,
Falkland Islands Islas Malvinas,"51 42 S, 57 51 W","51 45 S, 59 00 W","-51.7, -57.85","-51.75, -59.0",79.42890623,49.35485151,1.15,0.05,South America,Stanley,
Faroe Islands,"62 00 N, 6 46 W","62 00 N, 7 00 W","62.0, -6.766666666666667","62.0, -7.0",12.18448362,7.571089773,0.23333,0,Europe,Torshavn,
Federated States of Micronesia,"6 55 N, 158 09 E","6 55 N, 158 15 E","6.916666666666667, 158.15","6.916666666666667, 158.25",11.04203416,6.861204344,-0.1,0,Oceania,Palikir,
Fiji,"18 08 S, 178 25 E","18 00 S, 175 00 E","-18.133333333333333, 178.41666666666666","-18.0, 175.0",361.597129,224.6861181,3.41667,-0.13333,Oceania,Suva,
Finland,"60 10 N, 24 56 E","64 00 N, 26 00 E","60.166666666666664, 24.933333333333334","64.0, 26.0",429.9684266,267.1700878,-1.06667,-3.83333,Europe,Helsinki,
France,"48 52 N, 2 20 E","46 00 N, 2 00 E","48.86666666666667, 2.3333333333333335","46.0, 2.0",319.8427682,198.7411521,0.33333,2.86667,Europe,Paris,
French Polynesia,"17 32 S, 149 34 W","15 00 S, 140 00 W","-17.533333333333335, -149.56666666666666","-15.0, -140.0",1059.462908,658.3199618,-9.56667,-2.53333,Oceania,Papeete,
Gabon,"0 23 N, 9 27 E","1 00 S, 11 45 E","0.38333333333333336, 9.45","-1.0, 11.75",298.5272978,185.4963282,-2.3,1.38333,Africa,Libreville,
Georgia,"41 41 N, 44 50 E","42 00 N, 43 30 E","41.68333333333333, 44.833333333333336","42.0, 43.5",115.9640714,72.05675861,1.33333,-0.31667,Europe,Tbilisi,
Germany,"52 31 N, 13 24 E","51 00 N, 9 00 E","52.516666666666666, 13.4","51.0, 9.0",346.6556746,215.4019255,4.4,1.51667,Europe,Berlin,
Ghana,"5 33 N, 0 13 W","8 00 N, 2 00 W","5.55, -0.21666666666666667","8.0, -2.0",336.2383472,208.9288961,1.78333,-2.45,Africa,Accra,
Gibraltar,"36 08 N, 5 21 W","36 08 N, 5 21 W","36.13333333333333, -5.35","36.13333333333333, -5.35",0,0,0,0,Europe,Gibraltar,
Greece,"37 59 N, 23 44 E","39 00 N, 22 00 E","37.983333333333334, 23.733333333333334","39.0, 22.0",188.5662694,117.1696888,1.73333,-1.01667,Europe,Athens,
Greenland,"64 11 N, 51 45 W","72 00 N, 40 00 W","64.18333333333334, -51.75","72.0, -40.0",992.8862896,616.9511544,-11.75,-7.81667,North America,Nuuk,
Grenada,"12 03 N, 61 45 W","12 07 N, 61 40 W","12.05, -61.75","12.116666666666667, -61.666666666666664",11.71064589,7.276660559,-0.08333,-0.06667,North America,St. George's,
Guam,"13 28 N, 144 44 E","13 28 N, 144 47 E","13.466666666666667, 144.73333333333332","13.466666666666667, 144.78333333333333",5.408581603,3.36073798,-0.05,0,Oceania,Hagåtña,
Guatemala,"14 37 N, 90 31 W","15 30 N, 90 15 W","14.616666666666667, -90.51666666666667","15.5, -90.25",102.3427792,63.59287705,-0.26667,-0.88333,North America,Guatemala City,
Guernsey,"49 27 N, 2 32 W","49 28 N, 2 35 W","49.45, -2.533333333333333","49.46666666666667, -2.5833333333333335",4.062600939,2.524384076,0.05,-0.01667,Europe,St. Peter Port,
Guinea-Bissau,"11 51 N, 15 35 W","11 00 N, 10 00 W","11.85, -15.583333333333334","11.0, -10.0",616.0102908,382.7711833,-5.58333,0.85,Africa,Bissau,
Guinea,"9 30 N, 13 42 W","12 00 N, 15 00 W","9.5, -13.7","12.0, -15.0",312.255121,194.026405,1.3,-2.5,Africa,Conakry,
Guyana,"6 48 N, 58 09 W","5 00 N, 59 00 W","6.8, -58.15","5.0, -59.0",221.1993389,137.4469453,0.85,1.8,South America,Georgetown,
Haiti,"18 32 N, 72 20 W","19 00 N, 72 25 W","18.533333333333335, -72.33333333333333","19.0, -72.41666666666667",52.64396758,32.71145639,0.08333,-0.46667,North America,Port-au-Prince,
Holy See Vatican City,"41 54 N, 12 27 E","41 54 N, 12 27 E","41.9, 12.45","41.9, 12.45",0,0,0,0,Europe,Vatican City,
