COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName
Saint Barthelemy,"17 53 N, 62 51 W","17 90 N, 62 85 W","17.883333333333333, -62.85","18.5, -63.416666666666664",91.05147232,56.5767818,0.56667,-0.61667,North America,Gustavia
Saint Kitts and Nevis,"17 18 N, 62 43 W","17 20 N, 62 45 W","17.3, -62.71666666666667","17.333333333333332, -62.75",5.125971079,3.18513188,0.03333,-0.03333,North America,Basseterre
Saint Lucia,"14 00 N, 61 00 W","13 53 N, 60 58 W","14.0, -61.0","13.883333333333333, -60.96666666666667",13.46649386,8.367694284,-0.03333,0.11667,North America,Castries
Saint Pierre and Miquelon,"46 46 N, 56 11 W","46 50 N, 56 20 W","46.766666666666666, -56.18333333333333","46.833333333333336, -56.333333333333336",13.61738594,8.461454313,0.15,-0.06667,North America,St. Pierre
Saint Vincent and the Grenadines,"13 08 N, 61 13 W","13 15 N, 61 12 W","13.133333333333333, -61.21666666666667","13.25, -61.2",13.10173286,8.141042229,-0.01667,-0.11667,North America,Kingstown
Suriname,"5 50 N, 55 10 W","4 00 N, 56 00 W","5.833333333333333, -55.166666666666664","4.0, -56.0",223.856615,139.0981006,0.83333,1.83333,South America,Paramaribo
The Bahamas,"25 05 N, 77 21 W","24 15 N, 76 00 W","25.083333333333332, -77.35","24.25, -76.0",164.9603171,102.5016249,-1.35,0.83333,North America,Nassau
Trinidad and Tobago,"10 39 N, 61 31 W","11 00 N, 61 00 W","10.65, -61.516666666666666","11.0, -61.0",68.56917143,42.60692278,-0.51667,-0.35,North America,Port of Spain
Turks and Caicos Islands,"21 28 N, 71 08 W","21 45 N, 71 35 W","21.466666666666665, -71.13333333333334","21.75, -71.58333333333333",56.20299839,34.92293639,0.45,-0.28333,North America,Cockburn Town
United States,"38 53 N, 77 02 W","38 00 N, 97 00 W","38.88333333333333, -77.03333333333333","38.0, -97.0",1738.795091,1080.437558,19.96667,0.88333,North America,"Washington, D.C."
Uruguay,"34 51 S, 56 10 W","33 00 S, 56 00 W","-34.85, -56.166666666666664","-33.0, -56.0",206.3492246,128.2195087,-0.16667,-1.85,South America,Montevideo
Venezuela,"10 29 N, 66 52 W","8 00 N, 66 00 W","10.483333333333333, -66.86666666666666","8.0, -66.0",292.1463555,181.531393,-0.86667,2.48333,South America,Caracas
Virgin Islands,"18 21 N, 64 56 W","18 20 N, 64 50 W","18.35, -64.93333333333334","18.333333333333332, -64.83333333333333",10.71941976,6.660740976,-0.1,0.01667,North America,Charlotte Amalie
